Date,Open,High,Low,Close,Volume,Daily_Return,cumprod,3 days,3 momentum,3 momentum cumprod
2001-07-31,534.84,541.55,532.55,541.55,202399984,1.015031957,5.4155,1,1.039220755,36.82061152
2001-08-01,546.3,563.67,542,562.79,441199968,1.039220755,5.6279,1,1.008297944,37.1261469
2001-08-02,565.39,572.03,557.29,567.46,445799968,1.008297944,5.6746,1,1.002167554,37.20661981
2001-08-03,572,572,563.55,568.69,267799984,1.002167554,5.6869,1,1.001195731,37.2511089
2001-08-06,564.72,573.56,563.53,569.37,375399968,1.001195731,5.6937,1,0.996715668,37.1287639
2001-08-07,562.17,568.57,561.29,567.5,366599968,0.996715668,5.675,1,0.997251101,37.02670069
2001-08-08,568.07,568.85,561.35,565.94,362199968,0.997251101,5.6594,0,,37.02670069
2001-08-09,554.46,559.17,549.67,549.67,318600000,0.971251369,5.4967,0,,37.02670069
2001-08-10,556.04,558.27,552,555.34,286600000,1.01031528,5.5534,0,,37.02670069
2001-08-13,558.48,562,552.17,562,298600000,1.011992653,5.62,0,,37.02670069
2001-08-14,565.2,577.24,564.86,577.15,539400000,1.026957295,5.7715,1,1.006584077,37.27048734
2001-08-16,571.19,582.8,569.53,580.95,525599968,1.006584077,5.8095,1,1.000068853,37.27305351
2001-08-17,581.52,585.36,577.1,580.99,437399968,1.000068853,5.8099,1,0.97607532,36.38130762
2001-08-20,568.58,574.16,566.42,567.09,381799968,0.97607532,5.6709,0,,36.38130762
2001-08-21,571.77,572.86,561.44,568.68,450199968,1.002803788,5.6868,0,,36.38130762
2001-08-22,560.53,575.3,560.53,574.87,525799968,1.010884856,5.7487,0,,36.38130762
2001-08-23,578.62,580.51,568.82,570.07,482199968,0.991650286,5.7007,1,0.99866683,36.33280517
2001-08-24,571.97,573.19,563.9,569.31,415199968,0.99866683,5.6931,1,1.016563911,36.93461851
2001-08-27,577.46,585.34,574.71,578.74,478599968,1.016563911,5.7874,1,0.996146802,36.7923021
2001-08-28,577.75,578.62,573.1,576.51,445199968,0.996146802,5.7651,1,0.981127821,36.09795118
2001-08-29,569.77,570.03,563.28,565.63,468999968,0.981127821,5.6563,0,,36.09795118
2001-08-30,555.98,564.36,554.47,564.36,711799936,0.997754716,5.6436,0,,36.09795118
2001-08-31,552.78,554.48,542.21,545.11,720399936,0.965890566,5.4511,0,,36.09795118
2001-09-03,545.02,547.63,539.17,541.83,415199968,0.993982866,5.4183,0,,36.09795118
2001-09-04,543.1,558.79,540.33,558.79,622234816,1.031301331,5.5879,0,,36.09795118
2001-09-05,550.43,553.61,547.88,551.91,788799936,0.987687682,5.5191,1,1.001232085,36.14242693
2001-09-06,552.41,559.17,551.35,552.59,588200000,1.001232085,5.5259,1,1.004506053,36.30528663
2001-09-07,546.79,555.51,544.73,555.08,491199968,1.004506053,5.5508,0,,36.30528663
2001-09-10,547.99,551.26,545.16,550.73,595800000,0.992163292,5.5073,0,,36.30528663
2001-09-11,550.9,553.61,539.72,540.57,647174336,0.981551759,5.4057,0,,36.30528663
2001-09-12,490.14,499.9,474.58,475.6,600299968,0.87981205,4.756,0,,36.30528663
2001-09-13,491.61,499.25,484.49,499.25,625099968,1.049726661,4.9925,0,,36.30528663
2001-09-14,497.15,497.15,472.98,482.29,613499968,0.966029044,4.8229,0,,36.30528663
2001-09-17,475.31,476.42,464.39,468.76,629112000,0.971946339,4.6876,0,,36.30528663
2001-09-18,481.45,485.12,478.24,484.93,630960000,1.034495264,4.8493,0,,36.30528663
2001-09-19,484.16,491.99,480.4,486.75,783799936,1.003753119,4.8675,1,0.986687211,35.82196201
2001-09-20,482.79,482.79,473.5,480.27,627800000,0.986687211,4.8027,1,0.98342599,35.22824844
2001-09-21,466.57,472.31,463.54,472.31,564200000,0.98342599,4.7231,0,,35.22824844
2001-09-24,473.75,482.19,471.91,482.19,538800000,1.020918465,4.8219,0,,35.22824844
2001-09-25,491.59,491.68,470.38,472.13,640200000,0.979136855,4.7213,0,,35.22824844
2001-09-26,473.41,475.8,468.48,472.85,423399968,1.001525004,4.7285,1,0.999006027,35.19323252
2001-09-27,467.45,472.38,464.42,472.38,453199968,0.999006027,4.7238,0,,35.19323252
2001-09-28,475.56,483.21,472.71,479.68,426699968,1.01545366,4.7968,1,1.043695797,36.73102887
2001-10-04,498.87,501.22,494.76,500.64,548000000,1.043695797,5.0064,1,1.002556727,36.8249401
2001-10-05,499.8,502.11,496.66,501.92,781799936,1.002556727,5.0192,1,0.988464297,36.40013853
2001-10-08,497.44,501.56,493.12,496.13,687399936,0.988464297,4.9613,1,1.023139097,37.24240485
2001-10-09,501.02,509.21,501.02,507.61,655200000,1.023139097,5.0761,1,0.991824432,36.93792705
2001-10-10,503.08,505.41,500.44,503.46,474799968,0.991824432,5.0346,1,1.026993207,37.93500016
2001-10-11,514.84,519.56,513.87,517.05,598600000,1.026993207,5.1705,1,0.998742868,37.88731086
2001-10-12,526.06,526.2,510.93,516.4,628200000,0.998742868,5.164,1,0.995333075,37.71049363
2001-10-15,513.55,517.47,511.29,513.99,373199968,0.995333075,5.1399,1,1.01540886,38.29156935
2001-10-16,514.43,522.16,514.04,521.91,419599968,1.01540886,5.2191,1,1.01222433,38.75965812
2001-10-17,527.81,529.54,522.37,528.29,448599968,1.01222433,5.2829,1,0.992276969,38.46031609
2001-10-18,522.31,526.49,519.41,524.21,387799968,0.992276969,5.2421,1,1.007306232,38.74131609
2001-10-19,522.93,530.08,521.42,528.04,661600000,1.007306232,5.2804,1,1.001249905,38.78973906
2001-10-22,532,532.12,524.32,528.7,563200000,1.001249905,5.287,1,1.003404577,38.92180173
2001-10-23,533.68,538.29,530.45,530.5,466399968,1.003404577,5.305,1,1.020716305,39.72811766
2001-10-24,532.63,541.96,531.46,541.49,382199968,1.020716305,5.4149,1,1.001292729,39.77947536
2001-10-25,542.83,545.12,539.62,542.19,641000000,1.001292729,5.4219,1,1.002250134,39.8689845
2001-10-26,545.15,547.25,539.91,543.41,359599968,1.002250134,5.4341,1,1.008207431,40.19620643
2001-10-29,548.22,550.93,544.07,547.87,412799968,1.008207431,5.4787,1,0.974446493,39.16905238
2001-10-30,538.99,539.93,533.2,533.87,359399968,0.974446493,5.3387,0,,39.16905238
2001-10-31,530.53,537.81,529.75,537.81,592400000,1.007380074,5.3781,0,,39.16905238
2001-11-01,540.63,546.12,536.2,544.09,461599968,1.011676986,5.4409,0,,39.16905238
2001-11-02,547.99,554.05,547.51,550.57,855799936,1.011909794,5.5057,1,1.020070109,39.95517954
2001-11-05,555.62,561.62,552.89,561.62,417399968,1.020070109,5.6162,1,1.006855169,40.22907904
2001-11-06,567.35,569.82,565.47,565.47,493999968,1.006855169,5.6547,1,0.993916565,39.98434806
2001-11-07,567.03,567.94,560.88,562.03,449399968,0.993916565,5.6203,1,1.019589702,40.7676295
2001-11-08,564.82,574.75,564.82,573.04,531399968,1.019589702,5.7304,1,1.006474243,41.03156903
2001-11-09,575.1,579.19,569.71,576.75,823599936,1.006474243,5.7675,1,1.013402687,41.58150233
