Date,Open,High,Low,Close,Volume,Change
2017-04-04,107269,107392,107265,107315,78,0.0008580248640683853
2017-04-05,107497,107497,107211,107214,130,-0.0009411545450309644
2017-04-06,107313,107313,107235,107261,262,0.0004383755852781501
2017-04-07,106784,107225,106784,107118,19,-0.0013331965952210199
2017-04-10,107108,107108,107012,107035,238,-0.0007748464310386449
2017-04-11,107012,107123,107012,107089,130,0.0005045078712571094
2017-04-12,107099,107137,107099,107142,37,0.0004949154441633574
2017-04-13,107323,107323,107161,107214,30,0.0006720053760429501
2017-04-14,107308,107308,107308,107310,5,0.0008954054507805953
2017-04-17,107308,107313,107245,107247,27,-0.0005870841487279899
2017-04-18,107235,107240,107206,107209,52,-0.00035432226542464484
2017-04-19,107284,107353,107284,107345,311,0.0012685502150004966
2017-04-20,107332,107332,107245,107261,274,-0.0007825236387348777
